,0,orig shp,origin,t_wrld
0,ts-LNDb-0160-0208.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0208
1,ts-LNDb-0160-0211.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0211
2,ts-LNDb-0160-0214.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0214
3,ts-LNDb-0160-0217.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0217
4,ts-LNDb-0160-0220.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0220
5,ts-LNDb-0160-0223.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0223
6,ts-LNDb-0160-0226.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0226
7,ts-LNDb-0160-0229.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0229
8,ts-LNDb-0160-0232.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0232
9,ts-LNDb-0160-0235.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0235
10,ts-LNDb-0160-0238.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0238
11,ts-LNDb-0160-0241.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0241
12,ts-LNDb-0160-0244.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0244
13,ts-LNDb-0160-0247.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0247
14,ts-LNDb-0160-0250.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0250
15,ts-LNDb-0160-0253.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0253
16,ts-LNDb-0160-0256.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0256
17,ts-LNDb-0160-0259.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0259
18,ts-LNDb-0160-0262.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0262
19,ts-LNDb-0160-0265.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0265
20,ts-LNDb-0160-0268.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0268
21,ts-LNDb-0160-0271.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0271
22,ts-LNDb-0160-0274.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0274
23,ts-LNDb-0160-0277.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0277
24,ts-LNDb-0160-0280.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0280
25,ts-LNDb-0160-0283.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0283
26,ts-LNDb-0160-0286.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0286
27,ts-LNDb-0160-0289.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0289
28,ts-LNDb-0160-0292.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0292
29,ts-LNDb-0160-0295.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0295
30,ts-LNDb-0160-0298.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0298
31,ts-LNDb-0160-0301.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0301
32,ts-LNDb-0160-0304.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0304
33,ts-LNDb-0160-0307.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0307
34,ts-LNDb-0160-0310.jpg,"(349, 512, 660)","(-208.03807160195095, -296.20541828947677, -1232.4816371503807)",ts-LNDb-0160-0310
35,ts-LNDb-0228-0219.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0219
36,ts-LNDb-0228-0222.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0222
37,ts-LNDb-0228-0225.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0225
38,ts-LNDb-0228-0228.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0228
39,ts-LNDb-0228-0231.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0231
40,ts-LNDb-0228-0234.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0234
41,ts-LNDb-0228-0237.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0237
42,ts-LNDb-0228-0240.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0240
43,ts-LNDb-0228-0243.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0243
44,ts-LNDb-0228-0246.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0246
45,ts-LNDb-0228-0249.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0249
46,ts-LNDb-0228-0252.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0252
47,ts-LNDb-0228-0255.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0255
48,ts-LNDb-0228-0258.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0258
49,ts-LNDb-0228-0261.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0261
50,ts-LNDb-0228-0264.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0264
51,ts-LNDb-0228-0267.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0267
52,ts-LNDb-0228-0270.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0270
53,ts-LNDb-0228-0273.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0273
54,ts-LNDb-0228-0276.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0276
55,ts-LNDb-0228-0279.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0279
56,ts-LNDb-0228-0282.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0282
57,ts-LNDb-0228-0285.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0285
58,ts-LNDb-0228-0288.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0288
59,ts-LNDb-0228-0291.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0291
60,ts-LNDb-0228-0294.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0294
61,ts-LNDb-0228-0297.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0297
62,ts-LNDb-0228-0300.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0300
63,ts-LNDb-0228-0303.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0303
64,ts-LNDb-0228-0306.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0306
65,ts-LNDb-0228-0309.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0309
66,ts-LNDb-0228-0312.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0312
67,ts-LNDb-0228-0315.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0315
68,ts-LNDb-0228-0318.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0318
69,ts-LNDb-0228-0321.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0321
70,ts-LNDb-0228-0324.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0324
71,ts-LNDb-0228-0327.jpg,"(368, 512, 616)","(-183.54499331457714, -318.2324614771842, -1247.9731648635818)",ts-LNDb-0228-0327
72,ts-LNDb-0135-0189.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0189
73,ts-LNDb-0135-0192.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0192
74,ts-LNDb-0135-0195.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0195
75,ts-LNDb-0135-0198.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0198
76,ts-LNDb-0135-0201.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0201
77,ts-LNDb-0135-0204.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0204
78,ts-LNDb-0135-0207.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0207
79,ts-LNDb-0135-0210.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0210
80,ts-LNDb-0135-0213.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0213
81,ts-LNDb-0135-0216.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0216
82,ts-LNDb-0135-0219.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0219
83,ts-LNDb-0135-0222.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0222
84,ts-LNDb-0135-0225.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0225
85,ts-LNDb-0135-0228.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0228
86,ts-LNDb-0135-0231.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0231
87,ts-LNDb-0135-0234.jpg,"(317, 512, 512)","(-205.0908203125, -399.5908203125, -300.5)",ts-LNDb-0135-0234
